File  .text     Size                      Crate Name
0.0%   0.3%     464B                        std core::intrinsics::copy_nonoverlapping::precondition_check
0.0%   0.3%     460B                 embassy_rp embassy_rp::usb::Driver<T>::new
0.0%   0.3%     460B                embassy_usb embassy_usb::class::cdc_acm::CdcAcmClass<D>::new
0.0%   0.2%     440B                 embassy_rp embassy_rp::dma::__cortex_m_rt_DMA_IRQ_0
0.0%   0.2%     440B                embassy_rp? <embassy_rp::gpio::Flex as core::ops::drop::Drop>::drop::{{closure}}
0.0%   0.2%     428B                        std core::fmt::Formatter::write_formatted_parts
0.0%   0.2%     428B                embassy_usb <embassy_usb::class::cdc_acm::Control as embassy_usb::Handler>::control_in
0.0%   0.2%     420B                        std compiler_builtins::mem::memcpy
0.0%   0.2%     420B                 embassy_rp embassy_rp::clocks::ClockConfig::crystal
0.0%   0.2%     420B                embassy_usb embassy_usb::descriptor::DescriptorWriter::endpoint
0.0%   0.2%     416B                        std compiler_builtins::float::mul::__mulsf3
0.0%   0.2%     392B                        std compiler_builtins::int::specialized_div_rem::u32_div_rem
0.0%   0.2%     392B                        std core::num::flt2dec::strategy::grisu::format_exact_opt::possibly_round
0.0%   0.2%     388B                embassy_usb embassy_usb::UsbDevice<D>::handle_control::{{closure}}
0.0%   0.2%     388B                embassy_rp? <embassy_rp::usb::ControlPipe<T> as embassy_usb_driver::ControlPipe>::setup::{{closure}}
0.0%   0.2%     380B                       libm libm::math::hypotf::hypotf
0.0%   0.2%     380B      linked_list_allocator linked_list_allocator::hole::HoleList::new
0.0%   0.2%     360B                        std core::fmt::Formatter::pad_formatted_parts
0.0%   0.2%     352B                  cnc_brain cnc_brain::__core0_main_task::{{closure}}
0.0%   0.2%     340B                embassy_usb embassy_usb::msos::MsOsDescriptorWriter::write_bos
0.0%   0.2%     340B                 embassy_rp embassy_rp::pio::on_pio_drop
0.0%   0.2%     334B                        std core::fmt::write
0.0%   0.2%     332B               embassy_sync embassy_sync::pipe::Pipe<M,_>::try_write_with_context::{{closure}}
0.0%   0.2%     332B                 embassy_rp embassy_rp::pio::Common<PIO>::try_write_instr
0.0%   0.2%     328B      linked_list_allocator linked_list_allocator::hole::Cursor::try_insert_after
0.0%   0.2%     328B                embassy_usb embassy_usb::UsbDevice<D>::wait_resume::{{closure}}
0.0%   0.2%     328B               embassy_sync embassy_sync::pipe::Pipe<M,_>::try_read_with_context::{{closure}}
0.0%   0.2%     324B      linked_list_allocator linked_list_allocator::hole::HoleList::allocate_first_fit
0.0%   0.2%     318B                        std core::str::validations::next_code_point_reverse
0.0%   0.2%     316B                embassy_usb embassy_usb::descriptor::DescriptorWriter::interface_alt
0.0%   0.2%     312B                        std core::fmt::num::imp::<impl u64>::_fmt
0.0%   0.2%     312B                 embassy_rp embassy_rp::pio::StateMachine<PIO,_>::set_config::{{closure}}
0.0%   0.2%     308B      linked_list_allocator linked_list_allocator::hole::deallocate
0.0%   0.2%     304B                        std alloc::raw_vec::RawVecInner<A>::try_allocate_in
0.0%   0.2%     300B                 embassy_rp embassy_rp::time_driver::TimerDriver::set_alarm
0.0%   0.2%     300B                   arrayvec arrayvec::arrayvec::ArrayVec<T,_>::extend_from_iter
0.0%   0.2%     296B                embassy_usb <embassy_usb::descriptor_reader::DescriptorIter as core::iter::traits::iterator::Iterator>::next
0.0%   0.2%     296B                embassy_usb embassy_usb::UsbDevice<D>::build
0.0%   0.2%     296B           embassy_executor embassy_executor::_export::Arena<_>::alloc
0.0%   0.2%     296B           embassy_executor embassy_executor::_export::Arena<_>::alloc
0.0%   0.2%     296B           embassy_executor embassy_executor::_export::Arena<_>::alloc
0.0%   0.2%     296B           embassy_executor embassy_executor::_export::Arena<_>::alloc
0.0%   0.2%     296B           embassy_executor embassy_executor::_export::Arena<_>::alloc
0.0%   0.2%     294B                 embassy_rp embassy_rp::Peripherals::steal
0.0%   0.2%     292B                 embassy_rp embassy_rp::pio::StateMachineTx<PIO,_>::dma_push
0.0%   0.2%     288B                 num_traits core::str::validations::next_code_point
0.0%   0.2%     288B                embassy_usb embassy_usb::descriptor_reader::Reader::read
0.0%   0.2%     288B                embassy_rp? <embassy_rp::usb::Bus<T> as embassy_usb_driver::Bus>::endpoint_is_stalled
0.0%   0.2%     284B      linked_list_allocator core::ptr::align_offset
0.0%   0.2%     276B                        std core::char::methods::encode_utf8_raw
0.0%   0.1%     272B                        std core::fmt::Formatter::debug_tuple_field1_finish
0.0%   0.1%     272B                       libm libm::math::floorf::floorf
0.0%   0.1%     272B                embassy_rp? <embassy_rp::gpio::Flex as core::ops::drop::Drop>::drop
0.0%   0.1%     268B      linked_list_allocator linked_list_allocator::hole::Cursor::try_insert_back
0.0%   0.1%     268B                embassy_rp? <embassy_rp::usb::ControlPipe<T> as embassy_usb_driver::ControlPipe>::accept::{{closure}}
0.0%   0.1%     264B                        std core::num::bignum::Big32x40::mul_digits::mul_inner
0.0%   0.1%     264B                embassy_rp? <embassy_rp::usb::Endpoint<T,embassy_rp::usb::Out> as embassy_usb_driver::Endpoint>::wait_enab...
0.0%   0.1%     264B                embassy_rp? <embassy_rp::usb::Endpoint<T,embassy_rp::usb::In> as embassy_usb_driver::Endpoint>::wait_enabl...
0.0%   0.1%     260B                  cnc_brain cnc_brain::__usb_comm_task_task::{{closure}}
0.0%   0.1%     260B                 embassy_rp embassy_rp::pio::StateMachine<PIO,_>::set_config::{{closure}}
0.0%   0.1%     252B                        std <&T as core::fmt::Debug>::fmt
0.0%   0.1%     252B                        std core::fmt::num::imp::<impl u32>::_fmt
0.0%   0.1%     252B                 embassy_rp embassy_rp::clocks::start_xosc
0.0%   0.1%     252B                 embassy_rp embassy_rp::clocks::configure_rosc
0.0%   0.1%     250B                embassy_usb embassy_usb::builder::Builder<D>::build
0.0%   0.1%     248B                        std core::slice::raw::from_raw_parts_mut::precondition_check
0.0%   0.1%     248B                        std core::slice::raw::from_raw_parts::precondition_check
0.0%   0.1%     248B                        std core::slice::raw::from_raw_parts::precondition_check
0.0%   0.1%     248B                embassy_rp? <embassy_rp::usb::Endpoint<T,embassy_rp::usb::Out> as embassy_usb_driver::EndpointOut>::read::...
0.0%   0.1%     248B                embassy_rp? <embassy_rp::usb::Endpoint<T,embassy_rp::usb::In> as embassy_usb_driver::EndpointIn>::write::{...
0.0%   0.1%     248B                        std core::slice::raw::from_raw_parts_mut::precondition_check
0.0%   0.1%     248B                        std core::slice::raw::from_raw_parts::precondition_check
0.0%   0.1%     244B                embassy_rp? <embassy_rp::usb::ControlPipe<T> as embassy_usb_driver::ControlPipe>::accept_set_address::{{cl...
0.0%   0.1%     240B                  [Unknown] __aeabi_d2f
0.0%   0.1%     240B                embassy_usb embassy_usb::builder::FunctionBuilder<D>::interface
0.0%   0.1%     236B                        log log::__private_api::log_impl
0.0%   0.1%     236B         embassy_usb_logger embassy_usb_logger::UsbLogger<_,T>::run_logger_class::{{closure}}
0.0%   0.1%     232B                embassy_usb embassy_usb::descriptor_reader::Reader::read
0.0%   0.1%     232B                embassy_rp? <embassy_rp::usb::Driver<T> as embassy_usb_driver::Driver>::start
0.0%   0.1%     228B                        std core::num::flt2dec::digits_to_dec_str
0.0%   0.1%     228B                embassy_usb embassy_usb::UsbDevice<D>::run::{{closure}}
0.0%   0.1%     228B                embassy_usb embassy_usb::builder::InterfaceBuilder<D>::alt_setting
0.0%   0.1%     224B                      fixed <fixed::FixedU32<Frac> as fixed::helpers::Sealed>::overflowing_from_float_helper
0.0%   0.1%     224B                 embassy_rp <embassy_rp::pio::InterruptHandler<PIO> as embassy_rp::interrupt::typelevel::Handler<<PIO as e...
0.0%   0.1%     220B                 embassy_rp embassy_rp::critical_section_impl::RpSpinlockCs::acquire
0.0%   0.1%     220B      linked_list_allocator linked_list_allocator::hole::Cursor::try_merge_next_n
0.0%   0.1%     220B                 embassy_rp embassy_rp::pio::Common<PIO>::make_pio_pin
0.0%   0.1%     212B                 embassy_rp embassy_rp::pio::StateMachineTx<PIO,_>::dma_push::{{closure}}
0.0%   0.1%     208B                        std <&T as core::fmt::Debug>::fmt
0.0%   0.1%     208B                        std alloc::alloc::Global::alloc_impl
0.0%   0.1%     208B                embassy_usb embassy_usb::class::cdc_acm::Receiver<D>::read_packet::{{closure}}
0.0%   0.1%     208B                embassy_rp? <embassy_rp::pio::Config<PIO> as core::default::Default>::default
0.0%   0.1%     204B      linked_list_allocator linked_list_allocator::hole::check_merge_bottom
0.0%   0.1%     204B                embassy_rp? <embassy_rp::usb::ControlPipe<T> as embassy_usb_driver::ControlPipe>::reject::{{closure}}
0.0%   0.1%     204B                embassy_usb embassy_usb::class::cdc_acm::Sender<D>::write_packet::{{closure}}
0.0%   0.1%     204B              embassy_sync? <embassy_sync::channel::SendFuture<M,T,_> as core::future::future::Future>::poll
0.0%   0.1%     204B                        std core::unicode::unicode_data::white_space::lookup
0.0%   0.1%     202B                        std <core::str::iter::EncodeUtf16 as core::iter::traits::iterator::Iterator>::next
0.0%   0.1%     200B                 embassy_rp embassy_rp::time_driver::TimerDriver::check_alarm::{{closure}}
0.0%   0.1%     200B                embassy_usb embassy_usb::msos::MsOsDescriptorWriter::end_subset
0.0%   0.1%     200B                 embassy_rp embassy_rp::pio::assert_consecutive
0.0%   0.1%     200B                 embassy_rp embassy_rp::pio::Config<PIO>::use_program
0.0%   0.1%     196B   embassy_time_queue_utils embassy_time_queue_utils::queue_integrated::Queue::schedule_wake
0.0%   0.1%     196B                embassy_usb embassy_usb::msos::MsOsDescriptorWriter::end_subset
0.0%   0.1%     196B                embassy_usb embassy_usb::msos::MsOsDescriptorWriter::end_subset
0.0%   0.1%     192B                  [Unknown] __aeabi_memset
0.0%   0.1%     192B                  [Unknown] __aeabi_memclr
0.0%   0.1%     192B      linked_list_allocator linked_list_allocator::hole::check_merge_top
0.0%   0.1%     192B           embassy_futures? <embassy_futures::select::Select<A,B> as core::future::future::Future>::poll
0.0%   0.1%     190B                embassy_usb embassy_usb::descriptor::device_descriptor
0.0%   0.1%     188B                        std core::panicking::assert_failed_inner
0.0%   0.1%     188B                        std <&mut W as core::fmt::Write::write_fmt::SpecWriteFmt>::spec_write_fmt
0.0%   0.1%     188B              embassy_sync? <embassy_sync::channel::SendFuture<M,T,_> as core::future::future::Future>::poll
0.0%   0.1%     188B                 embassy_rp embassy_rp::pio::Common<PIO>::try_load_program_at
0.0%   0.1%     184B                embassy_usb embassy_usb::class::cdc_acm::Receiver<D>::wait_connection::{{closure}}
0.0%   0.1%     184B                embassy_usb embassy_usb::class::cdc_acm::Sender<D>::wait_connection::{{closure}}
0.0%   0.1%     184B                        std <core::slice::iter::Chunks<T> as core::iter::traits::iterator::Iterator>::next
0.0%   0.1%     182B                 embassy_rp embassy_rp::pio::StateMachine<PIO,_>::set_config::{{closure}}
0.0%   0.1%     180B                 embassy_rp core::sync::atomic::atomic_store
0.0%   0.1%     180B                 embassy_rp core::sync::atomic::atomic_store
0.0%   0.1%     180B                embassy_usb core::sync::atomic::atomic_store
0.0%   0.1%     180B                embassy_rp? <embassy_rp::usb::Endpoint<T,embassy_rp::usb::Out> as embassy_usb_driver::Endpoint>::wait_enab...
0.0%   0.1%     180B                embassy_rp? <embassy_rp::usb::Endpoint<T,embassy_rp::usb::In> as embassy_usb_driver::Endpoint>::wait_enabl...
0.0%   0.1%     180B               embassy_sync embassy_sync::channel::ChannelState<T,_>::try_receive_with_context
0.0%   0.1%     180B                 embassy_rp embassy_rp::pio::Common<PIO>::try_load_program
0.0%   0.1%     176B                        std core::ptr::write_volatile::precondition_check
0.0%   0.1%     176B                        std core::ptr::read_volatile::precondition_check
0.0%   0.1%     176B           embassy_executor core::sync::atomic::atomic_store
0.0%   0.1%     176B                        std core::ptr::write_volatile::precondition_check
0.0%   0.1%     176B                        std core::ptr::read_volatile::precondition_check
0.0%   0.1%     176B                 embassy_rp core::sync::atomic::atomic_store
0.0%   0.1%     176B                 embassy_rp core::sync::atomic::atomic_load
0.0%   0.1%     176B                embassy_usb embassy_usb::descriptor::DescriptorWriter::configuration
0.0%   0.1%     176B                        std core::ptr::read_volatile::precondition_check
0.0%   0.1%     176B                        std core::ptr::write_volatile::precondition_check
0.0%   0.1%     176B                        std core::ptr::read_volatile::precondition_check
0.0%   0.1%     176B                        std core::intrinsics::write_bytes::precondition_check
0.0%   0.1%     176B               embassy_sync embassy_sync::ring_buffer::RingBuffer<_>::push_buf
0.0%   0.1%     176B               embassy_sync embassy_sync::ring_buffer::RingBuffer<_>::pop_buf
0.0%   0.1%     172B                        std core::char::methods::encode_utf16_raw
0.0%   0.1%     168B           embassy_executor core::sync::atomic::atomic_load
0.0%   0.1%     168B                 embassy_rp embassy_rp::time_driver::TimerDriver::trigger_alarm
0.0%   0.1%     168B                embassy_rp? <embassy_rp::dma::Transfer<C> as core::future::future::Future>::poll
0.0%   0.1%     166B                        std <core::str::pattern::MultiCharEqSearcher<C> as core::str::pattern::Searcher>::next
0.0%   0.1%     166B                        std <core::str::pattern::MultiCharEqSearcher<C> as core::str::pattern::Searcher>::next
0.0%   0.1%     166B                        std <core::str::pattern::MultiCharEqSearcher<C> as core::str::pattern::ReverseSearcher>::next_back
0.0%   0.1%     164B                        std <core::array::iter::IntoIter<T,_> as core::iter::traits::iterator::Iterator>::next
0.0%   0.1%     164B                        std core::str::iter::SplitInternal<P>::next
0.0%   0.1%     164B           embassy_executor embassy_executor::_export::TaskPoolRef::get::{{closure}}
0.0%   0.1%     164B           embassy_executor embassy_executor::_export::TaskPoolRef::get::{{closure}}
0.0%   0.1%     164B              embassy_sync? <embassy_sync::channel::SendFuture<M,T,_> as core::future::future::Future>::poll
0.0%   0.1%     162B                embassy_usb <embassy_usb::class::cdc_acm::ControlShared as core::default::Default>::default
0.0%   0.1%     160B                        std core::fmt::pointer_fmt_inner
0.0%   0.1%     160B                embassy_usb embassy_usb::builder::Builder<D>::function
0.0%   0.1%     160B                        std alloc::raw_vec::RawVecInner<A>::with_capacity_in
0.0%   0.1%     160B                   heapless heapless::deque::Deque<T,_>::push_back_unchecked
0.0%   0.1%     160B                        std <core::slice::iter::ChunksMut<T> as core::iter::traits::iterator::Iterator>::next
0.0%   0.1%     158B               embassy_sync embassy_sync::channel::ChannelState<T,_>::poll_receive
0.0%   0.1%     156B                 embassy_rp <embassy_rp::time_driver::TimerDriver as embassy_time_driver::Driver>::schedule_wake::{{closure}}
0.0%   0.1%     156B                embassy_usb embassy_usb::descriptor_reader::Reader::read_u16
0.0%   0.1%     156B                        std <core::str::iter::CharIndices as core::iter::traits::double_ended::DoubleEndedIterator>::next_...
0.0%   0.1%     156B                embassy_rp? <embassy_rp::dma::Transfer<C> as core::ops::drop::Drop>::drop
0.0%   0.1%     154B                  [Unknown] __aeabi_memclr4
0.0%   0.1%     154B                        std alloc::raw_vec::RawVecInner<A>::current_memory
0.0%   0.1%     152B               embassy_sync embassy_sync::waitqueue::atomic_waker::GenericAtomicWaker<M>::register::{{closure}}
0.0%   0.1%     152B                 embassy_rp <embassy_rp::time_driver::TimerDriver as embassy_time_driver::Driver>::now
0.0%   0.1%     152B                embassy_usb embassy_usb::msos::MsOsDescriptorWriter::build
0.0%   0.1%     152B                        std core::ptr::align_offset::mod_inv
0.0%   0.1%     152B                embassy_rp? <embassy_rp::usb::Bus<T> as embassy_usb_driver::Bus>::poll::{{closure}}
0.0%   0.1%     150B               embassy_sync embassy_sync::waitqueue::waker_registration::WakerRegistration::register
0.0%   0.1%     150B                embassy_usb embassy_usb::control::Request::parse
0.0%   0.1%     148B                        std core::ub_checks::maybe_is_nonoverlapping::runtime
0.0%   0.1%     148B      linked_list_allocator linked_list_allocator::align_down_size
0.0%   0.1%     148B      linked_list_allocator linked_list_allocator::hole::make_hole
0.0%   0.1%     146B         embassy_usb_logger embassy_usb_logger::LoggerState::new
0.0%   0.1%     146B                        std core::str::iter::SplitInternal<P>::get_end
0.0%   0.1%     144B                 embassy_rp embassy_rp::time_driver::TimerDriver::check_alarm::{{closure}}
0.0%   0.1%     144B                 embassy_rp embassy_rp::clocks::configure_rosc::{{closure}}
0.0%   0.1%     144B                 embassy_rp embassy_rp::clocks::configure_rosc::{{closure}}
0.0%   0.1%     144B                embassy_usb embassy_usb::class::cdc_acm::CdcAcmClass<D>::split
0.0%   0.1%     142B                embassy_usb embassy_usb::Inner<D>::handle_control_out_delegated
0.0%   0.1%     140B                        log log::set_logger_racy
0.0%   0.1%     140B                        std <core::str::iter::CharIndices as core::iter::traits::iterator::Iterator>::next
0.0%   0.1%     140B                        std core::str::<impl str>::trim_matches
0.0%   0.1%     140B               embassy_sync embassy_sync::channel::ChannelState<T,_>::poll_receive
0.0%   0.1%     140B                   heapless heapless::deque::Deque<T,_>::push_back_unchecked
0.0%   0.1%     138B               embassy_time <embassy_time::timer::Timer as core::future::future::Future>::poll
0.0%   0.1%     138B             encode_unicode <core::slice::iter::Iter<T> as core::iter::traits::double_ended::DoubleEndedIterator>::next_back
0.0%   0.1%     136B                        pio pio::InstructionOperands::discrim
0.0%   0.1%     136B                embassy_rp? <embassy_rp::usb::Bus<T> as embassy_usb_driver::Bus>::endpoint_set_enabled::{{closure}}
0.0%   0.1%     136B               embassy_sync embassy_sync::channel::ChannelState<T,_>::try_send_with_context
0.0%   0.1%     136B               embassy_sync embassy_sync::channel::Channel<M,T,_>::lock::{{closure}}
0.0%   0.1%     134B                embassy_usb embassy_usb::Inner<D>::handle_control_in_delegated
0.0%   0.1%     134B                        std <core::iter::adapters::skip::Skip<I> as core::iter::traits::iterator::Iterator>::size_hint
0.0%   0.1%     134B                        std core::alloc::layout::Layout::repeat
0.0%   0.1%     132B                 embassy_rp embassy_rp::gpio::SealedPin::pad_ctrl
0.0%   0.1%     132B                   heapless heapless::vec::Vec<T,_>::push_unchecked
0.0%   0.1%     132B                 embassy_rp embassy_rp::gpio::SealedPin::pad_ctrl
0.0%   0.1%     132B                 embassy_rp embassy_rp::gpio::SealedPin::pad_ctrl
0.0%   0.1%     132B                 embassy_rp embassy_rp::gpio::SealedPin::pad_ctrl
0.0%   0.1%     132B                        std core::ptr::drop_in_place<embassy_usb::UsbDevice<embassy_rp::usb::Driver<embassy_rp::peripheral...
0.0%   0.1%     132B           embassy_executor embassy_executor::raw::TaskStorage<F>::poll
0.0%   0.1%     132B           embassy_executor embassy_executor::raw::TaskStorage<F>::poll
0.0%   0.1%     132B           embassy_executor embassy_executor::raw::TaskStorage<F>::poll
0.0%   0.1%     132B           embassy_executor embassy_executor::raw::TaskStorage<F>::poll
0.0%   0.1%     132B           embassy_executor embassy_executor::raw::TaskStorage<F>::poll
0.0%   0.1%     132B               embassy_sync embassy_sync::channel::Channel<M,T,_>::lock::{{closure}}
0.0%   0.1%     132B               embassy_sync embassy_sync::channel::Channel<M,T,_>::lock::{{closure}}
0.0%   0.1%     132B               embassy_sync embassy_sync::channel::Channel<M,T,_>::lock::{{closure}}
0.0%   0.1%     132B                   heapless heapless::deque::Deque<T,_>::push_back_unchecked
0.0%   0.1%     130B   embassy_time_queue_utils embassy_time_queue_utils::queue_integrated::Queue::retain
0.0%   0.1%     128B                        std core::char::methods::encode_utf16_raw::do_panic::runtime
0.0%   0.1%     128B                        std core::char::methods::encode_utf8_raw::do_panic::runtime
0.0%   0.1%     128B               embassy_sync embassy_sync::waitqueue::atomic_waker::GenericAtomicWaker<M>::wake::{{closure}}
0.0%   0.1%     128B                 embassy_rp embassy_rp::reset::unreset_wait
0.0%   0.1%     128B                 embassy_rp embassy_rp::gpio::SealedPin::gpio
0.0%   0.1%     128B                embassy_usb embassy_usb::descriptor_reader::Reader::read_slice
0.0%   0.1%     128B                embassy_usb embassy_usb::descriptor::BosWriter::bos
0.0%   0.1%     128B      linked_list_allocator core::ptr::mut_ptr::<impl *mut T>::align_offset
0.0%   0.1%     128B                 embassy_rp embassy_rp::gpio::Flex::new
0.0%   0.1%     128B                 embassy_rp embassy_rp::gpio::Flex::new
0.0%   0.1%     128B        embassy_usb_logger? <embassy_usb_logger::UsbLogger<_,T> as log::Log>::log
0.0%   0.1%     128B                 embassy_rp embassy_rp::gpio::SealedPin::gpio
0.0%   0.1%     128B                 embassy_rp embassy_rp::gpio::SealedPin::gpio
0.0%   0.1%     128B                 embassy_rp embassy_rp::gpio::SealedPin::gpio
0.0%   0.1%     128B                embassy_rp? <embassy_rp::usb::ControlPipe<T> as embassy_usb_driver::ControlPipe>::data_in::{{closure}}::{{...
0.0%   0.1%     126B   embassy_time_queue_utils embassy_time_queue_utils::queue_integrated::Queue::next_expiration::{{closure}}
0.0%   0.1%     126B                embassy_usb embassy_usb::first_last::{{closure}}
0.0%   0.1%     124B                  [Unknown] __aeabi_f2d
0.0%   0.1%     124B           embassy_executor embassy_executor::raw::wake_task::{{closure}}
0.0%   0.1%     124B                        pio pio::SideSet::new_from_proc_macro
0.0%   0.1%     124B               embassy_time embassy_time::duration::div_ceil
0.0%   0.1%     124B                embassy_usb embassy_usb::descriptor_reader::Reader::read_u8
0.0%   0.1%     124B      linked_list_allocator linked_list_allocator::hole::HoleList::align_layout
0.0%   0.1%     124B        embassy_usb_logger? <embassy_usb_logger::Writer<_> as core::fmt::Write>::write_str
0.0%   0.1%     124B                embassy_usb embassy_usb::first_last::{{closure}}
0.0%   0.1%     124B                embassy_rp? <embassy_rp::usb::ControlPipe<T> as embassy_usb_driver::ControlPipe>::data_out::{{closure}}::{...
0.0%   0.1%     124B                embassy_rp? <embassy_rp::usb::ControlPipe<T> as embassy_usb_driver::ControlPipe>::data_in::{{closure}}::{{...
0.0%   0.1%     124B                embassy_rp? <embassy_rp::usb::Endpoint<T,embassy_rp::usb::In> as embassy_usb_driver::EndpointIn>::write::{...
0.0%   0.1%     124B           embassy_executor embassy_executor::_export::TaskPoolRef::get::{{closure}}
0.0%   0.1%     124B           embassy_executor embassy_executor::_export::TaskPoolRef::get::{{closure}}
0.0%   0.1%     124B               embassy_sync embassy_sync::channel::Channel<M,T,_>::lock::{{closure}}
